Pipeline Name,avg_fps,precision,recall,f1_score,tp,fp,fn,iou,mAP,dotd,memory_usage_mb,processing_time_sec,execution_time_sec,avg_processing_time_sec,total_processing_time_sec,avg_memory_usage_mb,Configurations,total_frames,model_name,img_size,iou_thresh,base_pipeline,conf_thresh,use_sahi,run_name,sahi_slice_height,sahi_slice_width,sahi_overlap_height_ratio,sahi_overlap_width_ratio,min_roi_size,max_rois,dynamic_multiplier,min_threshold,max_threshold,min_hits,roi_scale,fullframe_every,detect_every,use_tiling,use_nms,motion_thresh_scale,motion_pixel_threshold,use_morphological_dilation,full_scan_interval,classifier_model_name,cls_img_size,cls_scale2_size,cls_overlap,cls_conf_thresh,merge_dist,use_interpolation
strategy_12_001,3.54,7.85%,0.87%,1.56%,27,317,3092,0.01,0.00,0.71,898,497,181,59.54,104798,898,,1760,yolo12n.pt,640,,strategy_12,0.01,FALSE,strategy_12_001,,,,,192,5,4,20,80,3,3,,5,,,,,,,,,,,,,FALSE
strategy_12_02,3.45,42.86%,0.29%,0.57%,9,12,3110,0.00,0.00,0.11,922,510,182,60.59,106638,922,,1760,yolo12n.pt,640,,strategy_12,0.2,FALSE,strategy_12_02,,,,,192,5,4,20,80,3,3,,5,,,,,,,,,,,,,FALSE
strategy_12_01,3.43,35.56%,0.51%,1.01%,16,29,3103,0.00,0.00,0.57,892,513,183,60.26,106066,892,,1760,yolo12n.pt,640,,strategy_12,0.1,FALSE,strategy_12_01,,,,,192,5,4,20,80,3,3,,5,,,,,,,,,,,,,FALSE
strategy_12_005,3.45,18.68%,0.55%,1.06%,17,74,3102,0.00,0.00,0.54,939,511,183,59.24,104268,939,,1760,yolo12n.pt,640,,strategy_12,0.05,FALSE,strategy_12_005,,,,,192,5,4,20,80,3,3,,5,,,,,,,,,,,,,FALSE
strategy_12_01_sahi,2.26,2.01%,5.51%,2.94%,172,8404,2947,0.05,0.04,4.70,704,779,238,84.11,148032,704,,1760,yolo12n.pt,640,,strategy_12,0.1,TRUE,strategy_12_01_sahi,640,640,0.2,0.2,192,5,4,20,80,3,3,,5,,,,,,,,,,,,,FALSE
strategy_13_01_sahi_interpolation,2.26,2.01%,5.51%,2.94%,172,8404,2947,0.05,0.04,4.70,755,779,239,84.08,147988,755,,1760,yolo12n.pt,640,0.45,strategy_13,0.1,TRUE,strategy_13_01_sahi_interpolation,640,640,0.2,0.2,192,10,,,,,3,0,5,,,1,5,TRUE,10,yolo11n-cls.pt,224,448,0.2,0.01,150,TRUE
strategy_13_02_sahi_interpolation,2.26,2.33%,2.66%,2.48%,83,3484,3036,0.03,0.03,1.42,759,778,239,84.32,148400,759,,1760,yolo12n.pt,640,0.45,strategy_13,0.2,TRUE,strategy_13_02_sahi_interpolation,640,640,0.2,0.2,192,10,,,,,3,0,5,,,1,5,TRUE,10,yolo11n-cls.pt,224,448,0.2,0.01,150,TRUE
strategy_12_02_sahi,2.27,2.33%,2.66%,2.48%,83,3484,3036,0.03,0.03,1.42,706,776,240,84.08,147985,706,,1760,yolo12n.pt,640,,strategy_12,0.2,TRUE,strategy_12_02_sahi,640,640,0.2,0.2,192,5,4,20,80,3,3,,5,,,,,,,,,,,,,FALSE
strategy_13_005_sahi_interpolation,2.27,3.16%,17.25%,5.34%,538,16483,2581,0.12,0.06,4.22,763,775,240,83.98,147811,763,,1760,yolo12n.pt,640,0.45,strategy_13,0.05,TRUE,strategy_13_005_sahi_interpolation,640,640,0.2,0.2,192,10,,,,,3,0,5,,,1,5,TRUE,10,yolo11n-cls.pt,224,448,0.2,0.01,150,TRUE
strategy_12_005_sahi,2.26,3.16%,17.25%,5.34%,538,16483,2581,0.12,0.06,4.22,694,780,241,84.52,148758,694,,1760,yolo12n.pt,640,,strategy_12,0.05,TRUE,strategy_12_005_sahi,640,640,0.2,0.2,192,5,4,20,80,3,3,,5,,,,,,,,,,,,,FALSE
strategy_12_001_sahi,2.25,2.53%,43.89%,4.78%,1369,52770,1750,0.25,0.10,4.38,687,783,244,85.45,150383,687,,1760,yolo12n.pt,640,,strategy_12,0.01,TRUE,strategy_12_001_sahi,640,640,0.2,0.2,192,5,4,20,80,3,3,,5,,,,,,,,,,,,,FALSE
strategy_13_001_sahi_interpolation,2.25,2.53%,43.89%,4.78%,1369,52770,1750,0.25,0.10,4.38,775,782,245,85.10,149784,775,,1760,yolo12n.pt,640,0.45,strategy_13,0.01,TRUE,strategy_13_001_sahi_interpolation,640,640,0.2,0.2,192,10,,,,,3,0,5,,,1,5,TRUE,10,yolo11n-cls.pt,224,448,0.2,0.01,150,TRUE
strategy_8_005_sahi,1.86,5.83%,11.98%,7.85%,75,1211,551,0.02,0.01,0.75,714,949,299,0.54,948,714,,1760,yolo12n.pt,640,0.45,strategy_8,0.05,TRUE,strategy_8_005_sahi,640,640,0.2,0.2,192,10,,,,,3,0,5,,,,,,,,,,,,,FALSE
strategy_8_01_sahi,1.85,3.05%,2.56%,2.78%,16,508,610,0.01,0.01,0.50,727,949,299,0.54,949,727,,1760,yolo12n.pt,640,0.45,strategy_8,0.1,TRUE,strategy_8_01_sahi,640,640,0.2,0.2,192,10,,,,,3,0,5,,,,,,,,,,,,,FALSE
strategy_8_02_sahi,1.84,5.43%,1.60%,2.47%,10,174,616,0.00,0.01,0.29,722,955,300,0.54,955,722,,1760,yolo12n.pt,640,0.45,strategy_8,0.2,TRUE,strategy_8_02_sahi,640,640,0.2,0.2,192,10,,,,,3,0,5,,,,,,,,,,,,,FALSE
strategy_8_001_sahi,1.82,4.65%,38.66%,8.29%,242,4967,384,0.05,0.02,3.02,707,968,308,0.55,968,707,,1760,yolo12n.pt,640,0.45,strategy_8,0.01,TRUE,strategy_8_001_sahi,640,640,0.2,0.2,192,10,,,,,3,0,5,,,,,,,,,,,,,FALSE
strategy_8_01,1.59,66.67%,0.32%,0.64%,2,1,624,0.00,0.00,0.13,1075,1104,473,0.63,1104,1075,,1760,yolo12n.pt,640,0.45,strategy_8,0.1,FALSE,strategy_8_01,,,,,192,10,,,,,3,0,5,,,,,,,,,,,,,FALSE
strategy_8_005,1.50,25.00%,0.32%,0.63%,2,6,624,0.00,0.00,0.13,1080,1177,494,0.67,1177,1080,,1760,yolo12n.pt,640,0.45,strategy_8,0.05,FALSE,strategy_8_005,,,,,192,10,,,,,3,0,5,,,,,,,,,,,,,FALSE
